product_name,dosage_form,dosage_form_colour,dosage_form_shape,dosage_form_marking,adulterant_type,manufacturer_name,manufacturer_country
Li Long Brand Mei Guo Mo Bang 2500mg Capsule (力龙牌美国魔棒),Capsule,Green,Oblong,力龙生物,Sildenafil,Xi Zang La Sa Shi Li Long Sheng Wu Ji Shu You Xian Gong Si (西藏拉萨市力龙生物技术有限公司),China
Li Long Brand Mei Guo Zhan Shen 2500mg Capsule (力龙牌美国战神),Capsule,Red; Beige,Oblong,na,Lignocaine; Sildenafil; Tadalafil,Xi Zang La Sa Shi Li Long Sheng Wu Ji Shu You Xian Gong Si (西藏拉萨市力龙生物技术有限公司),China
Li Long Brand Shen Bai Jin Sheng Li Jiao Nang 2800mg (力龙牌腎白金生力胶囊),Capsule,Blue; White,Oblong,力龙生物,Sildenafil,Xi Zang La Sa Shi Li Long Sheng Wu Zhi Pin Gong Si (西藏拉萨市力龙生物制品公司),China
Li Long Brand Wu Di Wei Ge 2800mg Capsule (力龙牌无敌伟哥),Capsule,Blue; White,Oblong,力龙生物,Sildenafil,Xi Zang La Sa Li Long Sheng Wu Zhi Pin You Xian Gong  Si (西藏拉萨力龙生物制品有限公司),China
Li Long Brand Xi Yu Shen Bao 2800mg Tablet (力龙牌西域肾宝),Tablet,Brown,Teardrop,力龙,Sildenafil,Xi Zang La Sa Shi Li Long Sheng Wu Zhi Pin Gong Si (西藏拉萨市力龙生物制品公司),China
Li Long Brand Xin Yi Dai Hei Ma Yi Wang 2800mg Capsule (力龙牌新一代黑螞蟻王2800mg),Capsule,Red; White,Oblong,力龙生物,Sildenafil,Xi Zang La Sa Shi Li Long Sheng Wu Zhi Pin Gong Si (西藏拉萨市力龙生物制品公司),China
Li Zhi Yuan Brand Qiang Jing Wei Ge Wang Wu Bian Li 800mg Tablet (力之源牌强劲威哥王五鞭粒),Tablet,Blue,Diamond,800mg,Lignocaine; Sildenafil; Tadalafil; Vardenafil; Theophylline,Gui Zhou Li Zhi Yuan Bao Jian Pin You Xian Gong Si (贵州力之源保健品有限公司),na
Liu Mei Brand Natural Slimming 450mg Capsule (柳美牌自然瘦),Capsule,Pearl,Oblong,na,Phenolphthalein; Sibutramine,Guang Zhou Liu Zhi Mei Sheng Wu Ke Ji You Xian Gong Si (广州柳之美生物科技有限公司),China
LNH Solutions 500mg Capsule,Capsule,White,Oblong,na,Sildenafil,na,na
Longer Vaigra 1500 mg Capsule (长效伟哥),Capsule,Blue; White,Oblong,na,Sibutramine; Sildenafil,na,na
Luquan Brand Nangen Zengzhangsu 0.4g Capsule (鹿泉牌男根增长素),Capsule,Red; Beige,Oblong,na,Sildenafil,Zhong Mei He Zi He Bei Lu Quan Sheng Wu Gong Cheng You Xian Gong Si (中美合资河北鹿泉生物工程有限公司),na
LV Shou Reduces Fat (绿瘦第二代加强版),Capsule,Green,Oblong,na,Sibutramine,广州丽之源保健有限公司和北京思路雅科技发展有限公司,China
Magic Penis,Capsule & Pill,Yellow; Transparent,Oblong,na,Sildenafil,na,China
Man Up Now Capsules,Capsule,Red,Oblong,na,Dimethylsildenafil; Thiodimethylsildenafil,na,na
MaxGain+ 500mg Capsule,Capsule,White,Oblong,na,Sildenafil,na,na
MaxHerbal No. 1 Dietary Supplement for Men 500mg Capsule,Capsule,White,Oblong,na,Sibutramine; Sildenafil,na,na
Maxidus Capsules,Capsule,na,Oblong,na,Sildenafil; Methoxsalen; Thiosildenafil,Maxidus Health Corporation,na
Maxman U.S.A. America Vigra 1800mg Tablet,Tablet,Yellow,Triangle,HF,Sibutramine; Sildenafil,Tibetan Healthcare Association &quot;Xin Shengli&quot;,na
Mei Guo Lan Jing Ling (美国蓝精灵) (Green),Capsule,Green,Oblong,na,Sibutramine; Sildenafil,Xiang Gang Ai De Sheng Wu Ji Shu You Xian Gong Si (香港艾得生物技术有限公司),HongKong SAR
Mei Guo Lan Jing Ling (美国蓝精灵) (Red),Capsule,Red,Oblong,na,Sibutramine; Sildenafil,Xiang Gang Ai De Sheng Wu Ji Shu You Xian Gong Si (香港艾得生物技术有限公司),HongKong SAR
Mei Guo Xin Yi Dai ShenLiWeiGe 2800mg Capsule (美国新一代神力伟哥),Capsule,Blue; White,Oblong,na,Sildenafil; Tadalafil; Metronidazole,Xiang Gang Shen Long Bao Jian Pin Jin Chu Kou Gong Si (香港神龙保健品进出口公司),HongKong SAR
Mei Guo Zhan Shen Wai Yong Shen You (美国战神外用神油),Liquid (External Use),Brown,na,na,Lignocaine; Verapamil,Xi Zang Mei Long Bao Jian Pin You Xian Gong Si (西藏美龙保健品有限公司),China
Meng Hu Bei Zeng Capsule (猛虎倍增),Capsule,Red,Oblong,na,Sildenafil,na,na
Midnight Express Men Lasting Cologne,Liquid (External Use),Brown,na,na,Lignocaine,na,na
Migino Capsule (美人露),Capsule,Transparent,Oblong,na,Lignocaine,na,na
Miraculous Evil Root 1200mg Tablet (神奇魔根),Tablet,Yellow,Teardrop,C120,Sildenafil,Tibet jin wei long Health Medicine Co.; Ltd (西藏金威龙保健品有限公司),China
Miramax (增粗增大丸),Capsule,Gold,Oblong,na,Sildenafil,na,United States
MMC Mahman Capsules (Maxman 3000mg Capsules),Capsule & Pill,Black; White,Oblong & Round,艾力达生物,Phenolphthalein; Sibutramine; Sildenafil,Qinghai Province Xining City Ailida Biotechnology Co.; Ltd,China
Mo General (猛男魔根),Tablet,Beige,Teardrop,C50,Sildenafil; Dimethylphthalate,Xi Zang La Sa Shi Duo De Sheng Wu Zhi Pin Gong Si (西藏拉萨市多得生物制品公司),China
Montalin Jamu Pegal Linu Dan Asam Urat,Capsule,Red,Oblong,na,Paracetamol; Piroxicam,PJ. Air Madu Magelang,Indonesia
Mr Zack Powerbro Anda Lelaki Hebat,Capsule,Yellow,Oblong,na,Propoxyphenyl hydroxyhomosildenafil; Propoxyphenyl aildenafil; Propoxyphenyl thiohydroxyhomosildenafil; Propoxyphenyl thioaidenafil,na,Malaysia
Natural WeiNAGe (天然威哥),Capsule,Transparent,Oblong,na,AcetilNAacid; Acetildenafil; Carbodenafil,航天红外激光专科医院,na
new Max Man Three Effectiveness,Pill & Tablet,Black; Brown,Oblong,JIN YING,Sildenafil,Hong Kong Victoria Male Health Products Co.; Ltd,HongKong SAR
Obat Asam Urat Flu Tulang Super Untuk Pria Dan Wanita Capsule,Capsule,Maroon,Oblong,na,Dexamethasone; Diclofenac,na,na
Obat Kuat & Tahan Lama Khusus Pria Dewasa Maximal Capsule,Capsule,Red,Oblong,Super (on both parts of the capsule),Sildenafil,PJ. JAYA ABADI,Indonesia
Obat Tradisional Amrih Sehat Asam Urat Untuk Pria Dan Wanita Capsule,Capsule,Red; Yellow,Oblong,JAYA SAKTI,Dexamethasone; Paracetamol; Phenylbutazone,PJ. Amrih Sehat,Indonesia
OMAX Mutual Slimming Pills 0.3g (Day) (澳美斯超能燃脂素瘦身丸(日间装)),Capsule,White,Oblong,reduce weight,Phenolphthalein; Sibutramine,Fu Jian Shen Xing Fu Sheng Wu Ke Ji You Xian Gong Si (福建省幸福生物科技有限公司),China
OMAX Mutual Slimming Pills 0.3g (Night) (澳美斯超能燃脂素瘦身丸(夜间装)),Capsule,Blue,Oblong,Pearl white,Phenolphthalein; Sibutramine,Fu Jian Shen Xing Fu Sheng Wu Ke Ji You Xian Gong Si (福建省幸福生物科技有限公司),China
Oto Brand Qing Tian Zhu Capsule (Oto擎天柱牌健力胶囊),Capsule,Red,Oblong,健阳保健,Tadalafil,Shan Xi Jian Yang Yi Yao Bao Jian Pin You Xian Gong Si (陕西健阳医药保健品有限公司),na
Pai You Ji (吸油基),Capsule,Green,Oblong,na,Sildenafil; Ibuprofen,广州三合生物科技有限公司,China
Posh For Men Only Capsule (寳士情人秘膏),Liquid (External Use),Transparent,Oblong,na,Lignocaine,na,na
Power 1 Singapore Brand Chao Nong Suo Pian Weibawang 800mg (强劲威霸王五鞭粒),Tablet,Blue,Diamond,500mg,Sildenafil,Hai Kou Hong Da Yi Yao Bao Jian Pin Gong Si (海口宏大医药保健品公司),na
